,burstduration_1,burstinterval_1,Ku_1,CorrDim_1,PSD_3_to_7_1,PSD_12_to_30_1,PSD_20_to_40_1,levodopa_1,UPDRS_1
,burstduration_14,burstinterval_14,Ku_14,CorrDim_14,PSD_3_to_7_14,PSD_12_to_30_14,PSD_20_to_40_14,levodopa_14,UPDRS_14
burstduration_14,1.0,-0.3211256088658381,-0.48845626762908284,0.1593174611220779,-0.25362850486369937,-0.33107059651515897,0.22427902183541676,-0.2710436157580232,0.4535254984307513
burstinterval_14,-0.3211256088658381,1.0,0.30677198036162573,0.13839743301917823,0.17283862530069288,0.049054696100571,-0.009598741239753518,-0.05126249739523036,-0.22317424495624624
Ku_14,-0.48845626762908284,0.30677198036162573,1.0,-0.2170825433827425,0.3680986802266037,0.6104994638017452,-0.3338288136569565,0.3461021112419372,-0.7121703682736266
CorrDim_14,0.1593174611220779,0.13839743301917823,-0.2170825433827425,1.0,-0.155331153672972,-0.3467170964375856,-0.06799044334928606,-0.39082113800964374,0.3439211881231193
PSD_3_to_7_14,-0.25362850486369937,0.17283862530069288,0.3680986802266037,-0.155331153672972,1.0,0.7326998732259582,0.46422590737992825,0.024217873115124265,-0.7123815874588812
PSD_12_to_30_14,-0.33107059651515897,0.049054696100571,0.6104994638017452,-0.3467170964375856,0.7326998732259582,1.0,-0.01911041268368338,0.3408464144054891,-0.8885634577769808
PSD_20_to_40_14,0.22427902183541676,-0.009598741239753518,-0.3338288136569565,-0.06799044334928606,0.46422590737992825,-0.01911041268368338,1.0,-0.08076787063633294,0.18477253258595625
levodopa_14,-0.2710436157580232,-0.05126249739523036,0.3461021112419372,-0.39082113800964374,0.024217873115124265,0.3408464144054891,-0.08076787063633294,1.0,-0.28130344728672874
UPDRS_14,0.4535254984307513,-0.22317424495624624,-0.7121703682736266,0.3439211881231193,-0.7123815874588812,-0.8885634577769808,0.18477253258595625,-0.28130344728672874,1.0
""
,burstduration_15,burstinterval_15,Ku_15,CorrDim_15,PSD_3_to_7_15,PSD_12_to_30_15,PSD_20_to_40_15,levodopa_15,UPDRS_15
burstduration_15,1.0,-0.5404630447585467,-0.45762355958619527,0.27986901972581607,-0.3177446433288089,-0.3090930818209632,-0.31740000568769283,-0.49804183557985965,0.28108198069613355
burstinterval_15,-0.5404630447585467,1.0,0.5757906491990926,-0.09549815308059763,0.055259311788062974,0.07868903824946112,0.049159605144389884,0.22594054932574262,-0.25152351397551426
Ku_15,-0.45762355958619527,0.5757906491990926,1.0,-0.2627026175449334,0.4822976343928296,0.46089311308069636,0.4949680040131067,0.5366570615904162,-0.16867698657059774
CorrDim_15,0.27986901972581607,-0.09549815308059763,-0.2627026175449334,1.0,-0.24415746709457026,-0.2398943519100418,-0.2518240398662475,-0.23700292663664366,0.16496249676715025
PSD_3_to_7_15,-0.3177446433288089,0.055259311788062974,0.4822976343928296,-0.24415746709457026,1.0,0.9899394014549231,0.9953812497242741,0.590495266320279,0.20702431311509562
PSD_12_to_30_15,-0.3090930818209632,0.07868903824946112,0.46089311308069636,-0.2398943519100418,0.9899394014549231,1.0,0.9836313456973972,0.5495075025590017,0.21695346667753854
PSD_20_to_40_15,-0.31740000568769283,0.049159605144389884,0.4949680040131067,-0.2518240398662475,0.9953812497242741,0.9836313456973972,1.0,0.5949778916892138,0.2091144374102761
levodopa_15,-0.49804183557985965,0.22594054932574262,0.5366570615904162,-0.23700292663664366,0.590495266320279,0.5495075025590017,0.5949778916892138,1.0,-0.28130344728672874
UPDRS_15,0.28108198069613355,-0.25152351397551426,-0.16867698657059774,0.16496249676715025,0.20702431311509562,0.21695346667753854,0.2091144374102761,-0.28130344728672874,1.0
""
,burstduration_16,burstinterval_16,Ku_16,CorrDim_16,PSD_3_to_7_16,PSD_12_to_30_16,PSD_20_to_40_16,levodopa_16,UPDRS_16
burstduration_16,1.0,0.039966812620016424,-0.333472645448961,-0.103399786999414,-0.46821847744160067,-0.3708773243681044,-0.41303303349530146,-0.6188402883133289,0.34899065957921577
burstinterval_16,0.039966812620016424,1.0,0.30987253689858746,0.09645603332775267,-0.05724662693949588,-0.06851012705362242,-0.06234505586353801,-0.012956963328628876,-0.2514561606875177
Ku_16,-0.333472645448961,0.30987253689858746,1.0,-0.30628264568467,0.7326311991745541,0.7431425361808833,0.7301890388911568,0.5743972607956117,-0.5335256349783064
CorrDim_16,-0.103399786999414,0.09645603332775267,-0.30628264568467,1.0,-0.516178003792969,-0.5492529352086711,-0.5477569464275596,-0.24730483225316457,-0.0611160990902104
PSD_3_to_7_16,-0.46821847744160067,-0.05724662693949588,0.7326311991745541,-0.516178003792969,1.0,0.9598801981231303,0.9894362461971216,0.8223366285226191,-0.24434924735756589
PSD_12_to_30_16,-0.3708773243681044,-0.06851012705362242,0.7431425361808833,-0.5492529352086711,0.9598801981231303,1.0,0.9663900337152641,0.6918797204336091,-0.1712460998690157
PSD_20_to_40_16,-0.41303303349530146,-0.06234505586353801,0.7301890388911568,-0.5477569464275596,0.9894362461971216,0.9663900337152641,1.0,0.7656603149639601,-0.21019398777924714
levodopa_16,-0.6188402883133289,-0.012956963328628876,0.5743972607956117,-0.24730483225316457,0.8223366285226191,0.6918797204336091,0.7656603149639601,1.0,-0.28130344728672874
UPDRS_16,0.34899065957921577,-0.2514561606875177,-0.5335256349783064,-0.0611160990902104,-0.24434924735756589,-0.1712460998690157,-0.21019398777924714,-0.28130344728672874,1.0
""
