,burstduration_1,burstinterval_1,Ku_1,CorrDim_1,PSD_3_to_7_1,PSD_12_to_30_1,PSD_20_to_40_1,levodopa_1
levodopa_15,-0.0068099260944254085,0.006330785411150801,-0.054021220868001145,-0.42204554096998975,-0.22643500824522678,-0.184943608037021,-0.2308920380640063,1.0
""
,burstduration_16,burstinterval_16,Ku_16,CorrDim_16,PSD_3_to_7_16,PSD_12_to_30_16,PSD_20_to_40_16,levodopa_16
burstduration_16,1.0,-0.03134104478257641,-0.3270676776291777,0.22930911566366005,-0.44749099371689965,-0.35883654988251457,-0.4654254290261221,0.117840711576899
burstinterval_16,-0.03134104478257641,1.0,0.14953973692254918,0.19039134399754212,-0.13350688330879956,-0.2236818273908808,-0.2136480749663902,-0.014191299998334213
Ku_16,-0.3270676776291777,0.14953973692254918,1.0,0.041063894044825786,0.356323717881299,0.09917318357059811,0.38164784522945827,0.11119849536600872
CorrDim_16,0.22930911566366005,0.19039134399754212,0.041063894044825786,1.0,-0.1887551645092414,-0.06386437092746493,-0.2555698259171199,-0.027872105132465325
PSD_3_to_7_16,-0.44749099371689965,-0.13350688330879956,0.356323717881299,-0.1887551645092414,1.0,0.6951700842270878,0.9246867691677949,-0.07323210263022076
PSD_12_to_30_16,-0.35883654988251457,-0.2236818273908808,0.09917318357059811,-0.06386437092746493,0.6951700842270878,1.0,0.6312784031344981,-0.3536971873331978
PSD_20_to_40_16,-0.4654254290261221,-0.2136480749663902,0.38164784522945827,-0.2555698259171199,0.9246867691677949,0.6312784031344981,1.0,0.12275920797594655
levodopa_16,0.117840711576899,-0.014191299998334213,0.11119849536600872,-0.027872105132465325,-0.07323210263022076,-0.3536971873331978,0.12275920797594655,1.0
""
,burstduration_2,burstinterval_2,Ku_2,CorrDim_2,PSD_3_to_7_2,PSD_12_to_30_2,PSD_20_to_40_2,levodopa_2
burstduration_2,1.0,-0.05221032062581294,-0.28856276788449,0.02909567037335446,-0.17942427861461516,-0.18324506855527017,-0.17020092636950632,-0.28801886583588243
burstinterval_2,-0.05221032062581294,1.0,-0.017302723779585562,0.2405547949328744,-0.015226990906017377,-0.0938701771592326,0.006292982359214933,0.005008590950919476
Ku_2,-0.28856276788449,-0.017302723779585562,1.0,0.06535443991650211,-0.02489760928421709,-0.0727956141156446,-0.06374586581885926,0.1918290796454176
CorrDim_2,0.02909567037335446,0.2405547949328744,0.06535443991650211,1.0,-0.26654439971124916,-0.37266635558965816,-0.26656058008073746,-0.012662124840717827
PSD_3_to_7_2,-0.17942427861461516,-0.015226990906017377,-0.02489760928421709,-0.26654439971124916,1.0,0.9364100957143049,0.9901608693215098,0.2775954965634215
PSD_12_to_30_2,-0.18324506855527017,-0.0938701771592326,-0.0727956141156446,-0.37266635558965816,0.9364100957143049,1.0,0.9391594303333408,0.215148079345387
PSD_20_to_40_2,-0.17020092636950632,0.006292982359214933,-0.06374586581885926,-0.26656058008073746,0.9901608693215098,0.9391594303333408,1.0,0.24216449658855882
levodopa_2,-0.28801886583588243,0.005008590950919476,0.1918290796454176,-0.012662124840717827,0.2775954965634215,0.215148079345387,0.24216449658855882,1.0
""
