,burstduration_1,burstinterval_1,Ku_1,CorrDim_1,PSD_3_to_7_1,PSD_12_to_30_1,PSD_20_to_40_1,levodopa_1,UPDRS_1
PSD_12_to_30_14,-0.14020314651941224,0.049668644180700126,-0.09236056244596125,-0.23501859927961602,0.6431178517408442,1.0,0.5706746014021363,0.04912325544788539,-0.7302573386072678
PSD_20_to_40_14,-0.16070988422612292,0.32429134578976077,-0.1168853971491392,-0.20955494520306966,0.8821541681476476,0.5706746014021363,1.0,0.38855795780893904,-0.430751462144807
levodopa_14,-0.16091565218677234,0.14752517695639308,-0.12925144364246877,-0.14229262482974425,0.38892389598235977,0.04912325544788539,0.38855795780893904,1.0,-0.3429280161041217
UPDRS_14,0.06060428933126499,-0.08629259800462524,0.08483428715202468,0.19235681536786706,-0.4551199452971457,-0.7302573386072678,-0.430751462144807,-0.3429280161041217,1.0
""
,burstduration_15,burstinterval_15,Ku_15,CorrDim_15,PSD_3_to_7_15,PSD_12_to_30_15,PSD_20_to_40_15,levodopa_15,UPDRS_15
burstduration_15,1.0,-0.16695962570419876,-0.24747587501972682,0.2700047381731148,-0.14816388228317154,-0.15910293356108202,-0.04028392718193543,0.10540087408629939,0.08098604630943776
burstinterval_15,-0.16695962570419876,1.0,-0.067055309219316,0.03655260584660094,-0.13994054862893726,-0.2328764574402304,-0.05747100835611332,0.3303893487433167,0.04627892731276993
Ku_15,-0.24747587501972682,-0.067055309219316,1.0,-0.39393781572236786,0.07539600083659122,0.3964060778106816,-0.10228898510876369,-0.08160841420096344,-0.19293101930498974
CorrDim_15,0.2700047381731148,0.03655260584660094,-0.39393781572236786,1.0,0.08995529810720367,-0.2622130828060894,0.16723605851150866,0.0934401387159541,-0.03785809091209814
PSD_3_to_7_15,-0.14816388228317154,-0.13994054862893726,0.07539600083659122,0.08995529810720367,1.0,0.6182646945667735,0.8759067068584181,-0.455766512803021,0.22416497318403475
PSD_12_to_30_15,-0.15910293356108202,-0.2328764574402304,0.3964060778106816,-0.2622130828060894,0.6182646945667735,1.0,0.5524852791958254,-0.6218327868533974,0.413862305778198
PSD_20_to_40_15,-0.04028392718193543,-0.05747100835611332,-0.10228898510876369,0.16723605851150866,0.8759067068584181,0.5524852791958254,1.0,-0.5131017359735301,0.540583889480221
levodopa_15,0.10540087408629939,0.3303893487433167,-0.08160841420096344,0.0934401387159541,-0.455766512803021,-0.6218327868533974,-0.5131017359735301,1.0,-0.3429280161041217
UPDRS_15,0.08098604630943776,0.04627892731276993,-0.19293101930498974,-0.03785809091209814,0.22416497318403475,0.413862305778198,0.540583889480221,-0.3429280161041217,1.0
""
,burstduration_16,burstinterval_16,Ku_16,CorrDim_16,PSD_3_to_7_16,PSD_12_to_30_16,PSD_20_to_40_16,levodopa_16,UPDRS_16
burstduration_16,1.0,-0.2503214937181239,-0.3070162587319989,-0.2157426456177839,-0.3462344956095716,-0.22382084649504128,-0.3275872925028091,-0.11459004506118456,0.03433598982314373
burstinterval_16,-0.2503214937181239,1.0,0.545138075278049,-0.02674916258874,0.40367066067007545,0.252695801305248,0.4301588077556619,0.25212994676023237,0.008876085241092672
