,burstduration_1,burstinterval_1,Ku_1,CorrDim_1,PSD_3_to_7_1,PSD_12_to_30_1,PSD_20_to_40_1
CorrDim_15,0.02061768007472849,0.14024485816408053,-0.1490138308593931,1.0,-0.48069147047350963,-0.48422207926471483,-0.4677156779742234
PSD_3_to_7_15,0.04495869427730598,-0.15110112379400298,0.15797831803779838,-0.48069147047350963,1.0,0.972584161322275,0.9949500813193725
PSD_12_to_30_15,0.06503442518139795,-0.11011144565978487,0.24212850393908542,-0.48422207926471483,0.972584161322275,1.0,0.967869548859988
PSD_20_to_40_15,0.05069621851055963,-0.15216335186807656,0.11774244367961464,-0.4677156779742234,0.9949500813193725,0.967869548859988,1.0
""
,burstduration_16,burstinterval_16,Ku_16,CorrDim_16,PSD_3_to_7_16,PSD_12_to_30_16,PSD_20_to_40_16
burstduration_16,1.0,-0.02123695100642639,-0.14224296515444815,0.06215173385185356,0.22447111888105334,0.19385288272756515,0.22384685062873677
burstinterval_16,-0.02123695100642639,1.0,0.7656887358421961,0.29020948583670625,-0.26093281885599356,-0.22788712237004913,-0.2579405468677198
Ku_16,-0.14224296515444815,0.7656887358421961,1.0,0.1801364233954459,-0.5834341158366166,-0.5313023329302693,-0.565071558850218
CorrDim_16,0.06215173385185356,0.29020948583670625,0.1801364233954459,1.0,-0.08324861583202221,-0.06503120098507732,-0.0897348159144042
PSD_3_to_7_16,0.22447111888105334,-0.26093281885599356,-0.5834341158366166,-0.08324861583202221,1.0,0.9827948355810575,0.9942632092869056
PSD_12_to_30_16,0.19385288272756515,-0.22788712237004913,-0.5313023329302693,-0.06503120098507732,0.9827948355810575,1.0,0.9866667291591498
PSD_20_to_40_16,0.22384685062873677,-0.2579405468677198,-0.565071558850218,-0.0897348159144042,0.9942632092869056,0.9866667291591498,1.0
""
,burstduration_2,burstinterval_2,Ku_2,CorrDim_2,PSD_3_to_7_2,PSD_12_to_30_2,PSD_20_to_40_2
